title,site,type,directorAndActor,quote,star,date,url
指环王3：王者无敌 / 魔戒三部曲：王者再临(台 / 港) ,美国 新西兰,剧情 动作 奇幻 冒险,导演:彼得·杰克逊PeterJackson   主演:维果·莫腾森ViggoMortensen/...,史诗的终章。,9.1,2003,https://movie.douban.com/subject/1291552/
活着 / 人生  /  Lifetimes,中国大陆 香港,剧情 历史 家庭,导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang,张艺谋最好的电影。,9.1,1994,https://movie.douban.com/subject/1292365/
两杆大烟枪 / 够姜四小强(港)  /  两根枪管(台),英国,剧情 喜剧 犯罪,导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1,1998,https://movie.douban.com/subject/1293350/
窃听风暴 / 他人的生活  /  别人的生活,德国,剧情 悬疑,导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck   ...,别样人生。,9.1,2006,https://movie.douban.com/subject/1900841/
教父2 / 教父续集  /  教父II,美国,剧情 犯罪,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...,优雅的孤独。,9.1,1974,https://movie.douban.com/subject/1299131/
辩护人 / 逆权大状(港)  /  正义辩护人(台),韩国,剧情,导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/吴达洙Dal-suO...,电影的现实意义大过电影本身。,9.1,2013,https://movie.douban.com/subject/21937445/
饮食男女 / Eat Drink Man Woman,台湾 美国,剧情 家庭,导演:李安AngLee   主演:吴倩莲Chien-lienWu/杨贵媚Kuei-MeiYang/...,人生不能像做菜，把所有的料都准备好了才下锅。,9.1,1994,https://movie.douban.com/subject/1291818/
美国往事 / 四海兄弟(台)  /  义薄云天(港),意大利 美国,犯罪 剧情,导演:赛尔乔·莱翁内SergioLeone   主演:罗伯特·德尼罗RobertDeNiro...,往事如烟，无处祭奠。,9.1,1984,https://movie.douban.com/subject/1292262/
素媛 / 许愿  /  希望：为爱重生(台),韩国,剧情,导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9.1,2013,https://movie.douban.com/subject/21937452/
摔跤吧！爸爸 / 我和我的冠军女儿(台)  /  打死不离3父女(港),印度,剧情 传记 运动 家庭,导演:涅提·蒂瓦里NiteshTiwari   主演:阿米尔·汗AamirKhan/法缇玛...,,9.1,2016,https://movie.douban.com/subject/26387939/
迁徙的鸟 / 鸟的迁徙  /  鸟与梦飞行,法国 德国 意大利 西班牙 瑞士,纪录片,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...,最美的飞翔。,9.1,2001,https://movie.douban.com/subject/1292281/
黄金三镖客 / 好·坏·丑  /  独行侠决斗地狱门(港),意大利 西班牙 西德,冒险 西部,导演:SergioLeone   主演:ClintEastwood/EliWallach/LeeVanCleef,最棒的西部片。,9.1,1966,https://movie.douban.com/subject/1401118/
无间道 / Infernal Affairs  /  Mou gaan dou,香港,剧情 犯罪 悬疑,导演:刘伟强/麦兆辉   主演:刘德华/梁朝伟/黄秋生,香港电影史上永不过时的杰作。,9.0,2002,https://movie.douban.com/subject/1307914/
搏击俱乐部 / 搏击会(港)  /  斗阵俱乐部(台),美国 德国,剧情 动作 悬疑 惊悚,导演:大卫·芬奇DavidFincher   主演:爱德华·诺顿EdwardNorton/布拉...,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,1999,https://movie.douban.com/subject/1292000/
少年派的奇幻漂流 / 少年Pi的奇幻漂流  /  漂流少年Pi,美国 台湾 英国 加拿大,剧情 奇幻 冒险,导演:李安AngLee   主演:苏拉·沙玛SurajSharma/拉菲·斯波RafeSpa...,瑰丽壮观、无人能及的冒险之旅。,9.0,2012,https://movie.douban.com/subject/1929463/
蝙蝠侠：黑暗骑士 / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),美国 英国,剧情 动作 科幻 犯罪 惊悚,导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...,无尽的黑暗。,9.0,2008,https://movie.douban.com/subject/1851857/
天空之城 / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,日本,动画 奇幻 冒险,导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/横泽启子Ke...,对天空的追逐，永不停止。 ,9.0,1986,https://movie.douban.com/subject/1291583/
