title,site,type,directorAndActor,quote,star,date,url
阿飞正传 / Days of Being Wild,香港,犯罪 剧情 爱情,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/张曼玉MaggieC...,王家卫是一种风格，张国荣是一个代表。,8.5,1990,https://movie.douban.com/subject/1305690/
被解救的姜戈 / 被解放的姜戈  /  决杀令(台),美国,剧情 动作 西部 冒险,导演:昆汀·塔伦蒂诺QuentinTarantino   主演:杰米·福克斯JamieFoxx/...,热血沸腾，那个低俗、性感的无耻混蛋又来了。,8.5,2012,https://movie.douban.com/subject/6307447/
谍影重重2 / 叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),美国 德国,动作 悬疑 惊悚,导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...,谁说王家卫镜头很晃？,8.5,2004,https://movie.douban.com/subject/1308767/
谍影重重 / 叛谍追击(港)  /  神鬼认证(台),美国 德国 捷克,动作 悬疑 惊悚,导演:道格·里曼DougLiman   主演:马特·达蒙MattDamon/弗兰卡·波坦...,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,8.5,2002,https://movie.douban.com/subject/1304102/
魔女宅急便 / 魔女琪琪(台)  /  小魔女限时专送,日本,动画 奇幻 冒险,导演:宫崎骏HayaoMiyazaki   主演:高山南MinamiTakayama/佐久间玲Re...,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,8.5,1989,https://movie.douban.com/subject/1307811/
再次出发之纽约遇见你 / 再次出发  /  歌曲改变人生,美国,喜剧 爱情 音乐,导演:约翰·卡尼JohnCarney   主演:凯拉·奈特莉KeiraKnightley/马克...,爱我就给我看你的播放列表。,8.5,2013,https://movie.douban.com/subject/6874403/
勇闯夺命岛 / 石破天惊  /  绝地任务,美国,动作 冒险,导演:迈克尔·贝MichaelBay   主演:肖恩·康纳利SeanConnery/尼古拉...,类型片的极致。 ,8.5,1996,https://movie.douban.com/subject/1292728/
这个男人来自地球 / 地球不死人(港)  /  这个人来自洞穴,美国,剧情 科幻,导演:理查德·沙因克曼RichardSchenkman   主演:大卫·李·史密斯David...,科幻真正的魅力不是视觉效果能取代的。 ,8.5,2007,https://movie.douban.com/subject/2300586/
新龙门客栈 / New Dragon Gate Inn,香港 中国大陆,剧情 动作 武侠 古装,导演:李惠民RaymondLee   主演:张曼玉MaggieCheung/林青霞Brigitte...,嬉笑怒骂，调风动月。,8.5,1992,https://movie.douban.com/subject/1292287/
黑客帝国3：矩阵革命 / 骇客任务完结篇：最后战役  /  廿二世纪杀人网络3：惊变世纪,美国 澳大利亚,动作 科幻,导演:AndyWachowski/LarryWachowski   主演:KeanuReeves/LaurenceF...,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,8.5,2003,https://movie.douban.com/subject/1302467/
模仿游戏 / 解码游戏(港)  /  模拟游戏,英国 美国,剧情 传记 战争 同性,导演:莫腾·泰杜姆MortenTyldum   主演:本尼迪克特·康伯巴奇BenedictC...,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,8.5,2014,https://movie.douban.com/subject/10463953/
E.T. 外星人 / 外星人E.T.  /  外星人,美国,剧情 科幻,导演:StevenSpielberg   主演:HenryThomas/DeeWallace/RobertMacNa...,生病的E.T.皮肤的颜色就像柿子饼。,8.5,1982,https://movie.douban.com/subject/1294638/
血钻 / 血腥钻石  /  滴血钻石,美国 德国,剧情 惊悚 冒险,导演:爱德华·兹威克EdwardZwick   主演:莱昂纳多·迪卡普里奥Leonardo...,每个美丽事物背后都是滴血的现实。,8.5,2006,https://movie.douban.com/subject/1428175/
遗愿清单 / 玩转身前事(港)  /  一路玩到挂(台),美国,冒险 喜剧 剧情,导演:罗伯·莱纳RobReiner   主演:杰克·尼科尔森JackNicholson/摩根...,用剩余不多的时间，去燃烧整个生命。,8.5,2007,https://movie.douban.com/subject/1867345/
荒岛余生 / 浩劫重生(台)  /  劫后重生(港),美国,冒险 剧情,导演:罗伯特·泽米吉斯RobertZemeckis   主演:汤姆·汉克斯TomHanks/...,一个人的独角戏。,8.5,2000,https://movie.douban.com/subject/1298653/
麦兜故事 / 麦兜的故事  /  My Life as McDull,香港,剧情 喜剧 动画,导演:袁建滔ToeYuen   主演:李晋纬/林海峰JanLamb/吴君如SandraNg,麦兜是一只很哲学的猪。 ,8.5,2001,https://movie.douban.com/subject/1302476/
月球 / 月劫余生(港)  /  寂寞月影,英国,剧情 科幻 悬疑,导演:邓肯·琼斯DuncanJones   主演:山姆·洛克威尔SamRockwell/凯文...,2009媲美《第九区》的又一部科幻神作。,8.5,2009,https://movie.douban.com/subject/3073124/
傲慢与偏见 / 傲慢与偏见2005  /  Pride And Prejudice,法国 英国 美国,剧情 爱情,导演:乔·怀特JoeWright   主演:凯拉·奈特莉KeiraKnightley/马修·...,爱是摈弃傲慢与偏见之后的曙光。,8.4,2005,https://movie.douban.com/subject/1418200/
唐伯虎点秋香 / Flirting Scholar,香港,喜剧 爱情 古装,导演:李力持Lik-ChiLee   主演:周星驰StephenChow/巩俐LiGong/陈...,华太师是黄霑，吴镇宇四大才子之一。,8.4,1993,https://movie.douban.com/subject/1306249/
冰川时代 / 冰河世纪  /  冰原历险记,美国,喜剧 动画 冒险,导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge   主演...,松鼠才是角儿。,8.4,2002,https://movie.douban.com/subject/1291578/
香水 / 香水：一个杀人犯的故事  /  香水：一个谋杀犯的故事,德国 法国 西班牙 美国,剧情 犯罪 奇幻,导演:汤姆·提克威TomTykwer   主演:本·卫肖BenWhishaw/艾伦·瑞克...,一个单凭体香达到高潮的男人。,8.4,2006,https://movie.douban.com/subject/1760622/
青蛇 / Green Snake,香港,剧情 奇幻 古装,导演:徐克HarkTsui   主演:张曼玉MaggieCheung/王祖贤JoeyWang/...,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,8.4,1993,https://movie.douban.com/subject/1303394/
变脸 / 夺面双雄,美国,动作 科幻 犯罪 惊悚,导演:吴宇森JohnWoo   主演:约翰·特拉沃尔塔JohnTravolta/尼古拉斯...,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,8.4,1997,https://movie.douban.com/subject/1292659/
美国丽人 / 美丽有罪(港)  /  美国心·玫瑰情(台),美国,剧情 爱情 家庭,导演:萨姆·门德斯SamMendes   主演:凯文·史派西KevinSpacey/安妮特...,每个人的内心都是深不可测的大海。 ,8.4,1999,https://movie.douban.com/subject/1292062/
发条橙 / 发条桔子  /  发条橙子,英国 美国,犯罪 剧情 科幻,导演:StanleyKubrick   主演:MalcolmMcDowell/PatrickMagee/Michael...,我完全康复了。,8.4,1971,https://movie.douban.com/subject/1292233/
英国病人 / 英伦情人(台)  /  别问我是谁(港),美国 英国,爱情 剧情 战争,导演:安东尼·明格拉AnthonyMinghella   主演:拉尔夫·费因斯RalphFien...,"In memory, love lives forever...",8.4,1996,https://movie.douban.com/subject/1291853/
无耻混蛋 / 恶棍特工(台)  /  希魔撞正杀人狂(港),美国 德国,剧情 犯罪,导演:QuentinTarantino   主演:布拉德·皮特BradPitt/梅拉尼·罗兰M...,昆汀同学越来越变态了，比北野武还杜琪峰。,8.4,2009,https://movie.douban.com/subject/1438652/
你的名字。 / 你的名字  /  君之名,日本,剧情 爱情 动画,导演:新海诚MakotoShinkai   主演:神木隆之介RyûnosukeKamiki/上...,,8.4,2016,https://movie.douban.com/subject/26683290/
彗星来的那一夜 / 相干性  /  相干效应,美国 英国,科幻 悬疑 惊悚,导演:詹姆斯·沃德·布柯特JamesWardByrkit   主演:艾米丽·芭尔多尼Em...,小成本大魅力。,8.4,2013,https://movie.douban.com/subject/25807345/
暖暖内含光 / 暧暧内含光  /  美丽心灵的永恒阳光,美国,剧情 爱情 奇幻,导演:米歇尔·冈瑞MichelGondry   主演:金·凯瑞JimCarrey/凯特·温...,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,8.4,2004,https://movie.douban.com/subject/1308777/
恐怖游轮 / 汪洋血迷宮(台)  /  轮回三角,英国 澳大利亚,剧情 悬疑 惊悚,导演:克里斯托弗·史密斯ChristopherSmith   主演:梅利莎·乔治Melissa...,不要企图在重复中寻找已经失去的爱。,8.3,2009,https://movie.douban.com/subject/3011051/
秒速5厘米 / 秒速五厘米  /  秒速5公分,日本,动画 剧情 爱情,导演:新海诚MakotoShinkai   主演:水桥研二KenjiMizuhashi/近藤好美...,青春就是放弃和怀念。,8.3,2007,https://movie.douban.com/subject/2043546/
源代码 / 启动原始码(台)  /  危机解密(港),美国 加拿大,爱情 科幻 悬疑 惊悚,导演:邓肯·琼斯DuncanJones   主演:杰克·吉伦哈尔JakeGyllenhaal/...,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,8.3,2011,https://movie.douban.com/subject/3075287/
初恋这件小事 / 初恋那件小事(港)  /  暗恋那点小事,泰国,剧情 喜剧 爱情,导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭...,黑小鸭速效美白记。,8.3,2010,https://movie.douban.com/subject/4739952/
穆赫兰道 / 穆荷兰大道(台)  /  失忆大道(港),法国 美国,剧情 悬疑 惊悚,导演:大卫·林奇DavidLynch   主演:娜奥米·沃茨NaomiWatts/劳拉·哈...,大卫·林奇的梦境迷宫。,8.3,2001,https://movie.douban.com/subject/1292217/
国王的演讲 / 皇上无话儿(港)  /  王者之声：宣战时刻(台),英国 澳大利亚 美国,剧情 传记 历史,导演:汤姆·霍珀TomHooper   主演:柯林·菲尔斯ColinFirth/杰弗里·...,皇上无话儿。,8.3,2010,https://movie.douban.com/subject/4023638/
蓝色大门 / 蓝色夏恋  /  Blue Gate Crossing,台湾 法国,剧情 爱情 同性,导演:易智言Chih-yenYee   主演:陈柏霖Bo-linChen/桂纶镁LunmeiKwa...,青春的窃窃私语。 ,8.3,2002,https://movie.douban.com/subject/1308575/
曾经 / 一奏倾情(港)  /  曾经。爱是唯一(台),爱尔兰,剧情 音乐 爱情,导演:约翰·卡尼JohnCarney   主演:格伦·汉塞德GlenHansard/玛可塔...,有些幸福无关爱情。,8.3,2007,https://movie.douban.com/subject/2053515/
疯狂的石头 / Crazy Stone,中国大陆 香港,喜剧 犯罪,导演:宁浩HaoNing   主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin,中国版《两杆大烟枪》。,8.2,2006,https://movie.douban.com/subject/1862151/
